text,intent
can I contact customer service?,Contact
can you help me talking with customer assistance?,Contact
wanna chat with a person,Contact
help me check what hours I can contact customer service,Contact
I have got to speak to a damn operator,Contact
I do not know what to do to talk to an agent,Contact
need to get in touch with customer service,Contact
assistance contacting customer service,Contact
tell me what hours customer service available is,Contact
check what hours customer service available is,Contact
will you tell me what hours customer service available is?,Contact
help me contacting a person,Contact
I want to see at what time customer support available is,Contact
help me checking what hours I can contact customer service,Contact
show me what hours I can contact customer service,Contact
help me talk to an agent,Contact
I try to check what hours customer assistance available is,Contact
how do I check what hours customer service available is?,Contact
i do not know how to speak with customer service,Contact
what do I need to do to contact an agent?,Contact
"I need to speak to customer assistance, can I get some help?",Contact
what is your customer service number?,Contact
what do I have to do to speak to a fucking human agent?,Contact
help me contacting an operator,Contact
I need to contact an agent,Contact
ay are not being helpful can i speak with a live agent,Contact
what is the customer service working hours?,Contact
speak with agent,Contact
help me to check what hours customer service available is,Contact
help checking what hours customer service available is,Contact
will you transfer to me an agent?,Contact
i dont know what i have to do to contact customer support,Contact
I don't know what I have to do to contact an agent,Contact
I need assistance to contact an agent,Contact
I don't know how to talk to an agent,Contact
talk to customer service,Contact
I cannot contact an agent,Contact
need assistance talking to an operator,Contact
i try to talk with a human agent,Contact
I want assistance to talk with customer support,Contact
what time can I contact customer service?,Contact
i cant speak tto an agent,Contact
how do I check what hours I can contact customer service?,Contact
I want help contacting an agent,Contact
what do I have to do to contact customer service?,Contact
where do i check what hours customer support avialable is,Contact
can you ehlp me chatting with a live agent?,Contact
I want help to contact customer service,Contact
how can I talk to an agent?,Contact
how to check what hours I can contact customer service?,Contact
I do not know how I could contact an agent,Contact
can you help me to contact an agent?,Contact
I do not know how I can talk to an agent,Contact
i want assistance to talk to somebody,Contact
I do not know what I need to do to contact an agent,Contact
help contacting customer service,Contact
contact customer service,Contact
could I check at what time customer service available is?,Contact
where can I check what hours I can contact customer support?,Contact
I can't contact a human agent,Contact
help me to check what hours I can contact customer service,Contact
I don't know what to do to contact customer service,Contact
need assistance to chat with a live agent,Contact
I try to contact customer service,Contact
assistance to contact a person,Contact
will you show me what hours I can contact customer service?,Contact
help me to talk to an agent,Contact
I want help talking to an agent,Contact
i have got to contact customer assistance how to do it,Contact
I don't know how I could talk to an agent,Contact
is it possible to talk to an agent?,Contact
can I check what hours I can contact customer service?,Contact
I have to check at what time I can call customer support,Contact
speak to a goddamn live agent,Contact
want help to check at what time I can reach customer support,Contact
assistance to talk to an agent,Contact
i want help contacting customer assistance,Contact
i dont know what to do to contact a person,Contact
can I talk to customer support?,Contact
how to see at what time customer assistance available is?,Contact
I have got to talk to an agent,Contact
I want assistance contacting an agent,Contact
how do I contact an agent?,Contact
what do I need to do to talk with somebody?,Contact
help checking at what time customer service available is,Contact
what do I have to do to talk to an agent?,Contact
where can I check what hours I can contact customer service?,Contact
help me speaking with customer support,Contact
help to check at what time customer service available is,Contact
want help seeing what hours I can reach customer assistance,Contact
customer service,Contact
how to talk with somebody,Contact
see at what time I can reach custome assistance,Contact
i have got to contact customer support i need assistance,Contact
I do not know how to contact customer service,Contact
i need help speaking to a live agent,Contact
talking to agent,Contact
I want assistance to talk to customer service,Contact
I have got to check what hours customer service available is,Contact
how can I speak to a person?,Contact
can I check what hours customer service available is?,Contact
where do I check what hours I can contact customer service?,Contact
I try to check at what time I can contact customer service,Contact
would it be possible to contact an agent?,Contact
tell me at what time I can contact customer service,Contact
check what hours I can reach customer assistance,Contact
I do not know how to talk to someone,Contact
can I check at what time customer service available is?,Contact
need help to talk with somebody,Contact
where to check what hours I can contact customer support?,Contact
check at what time I can contact customer service,Contact
help me talk with a live agent,Contact
need assistance to speak with somebody,Contact
I try to talk with an agent,Contact
could you tell me what hours customer service available is?,Contact
help em check at what time I can reach customer support,Contact
help me to contact customer service,Contact
help me to see what hours i can reach customer service,Contact
how can i speak to customer service,Contact
I am trying to talk with customer support,Contact
need help talking to somebody,Contact
could I talk to an agent?,Contact
how could I contact customer service?,Contact
uhave a  mail address to contact customer assistance,Contact
can i see what hours i can call customer assistance,Contact
help me to talk with an assistant,Contact
help me see what hours customer support available is,Contact
how can i check at what time i can reach customer service,Contact
anyone available at customer service,Contact
I want assistance to contact customer service,Contact
I need to check what hours customer service available is,Contact
how do I see at what time customer support available is?,Contact
help chattinb with an operator,Contact
I need help to chat with someone,Contact
I do not know what to do to speak to customer service,Contact
can you tell me at what time customer service available is?,Contact
want assistance to speak with a human agent,Contact
can you help me speak with an agent?,Contact
is it possible to contact an agent?,Contact
I have got to speak to a person,Contact
help me checking at what time I can contact customer service,Contact
I want assistance totalk with a human agent,Contact
can you help me to speak with someone?,Contact
I have got to contact an agent,Contact
can you show me at what time customer service available is?,Contact
wanna speakto customer service help me,Contact
I wang assistance to get in touch with customer service,Contact
I don't know how I can contact customer service,Contact
I can't chat with an operator,Contact
how can i contact someone,Contact
i need help talking with an assistant,Contact
could you help me to contact customer service?,Contact
I have to speak with someone,Contact
I need assistance to talk to an agent,Contact
help me contact customer service,Contact
I need assistance to talk to a human agent,Contact
I don't know what I need to do to talk to an agent,Contact
I do not know how to speak with customer service,Contact
how to contact customer service?,Contact
do you have a number to contact customer service?,Contact
how do I check at what time I can contact customer service?,Contact
do you have an e-mail address to contact customer support ?,Contact
I want to check at what time customer service available is,Contact
i dont know what to do to talk to a fucking live agent,Contact
how do I talk with an aent?,Contact
I need assistance chatting with a human agent,Contact
I do not know how to get in touch with customer support,Contact
can I chat with a human agent?,Contact
I want assistance to chat with a person,Contact
"you are not being helpful, help to talk with an live agent",Contact
I have got to talk to a human agent,Contact
I do not know how I cam contact customer support,Contact
could you help me contacting customer service?,Contact
uare not helpful help me speak  to an assistant,Contact
help talking to an agent,Contact
where to see what hours I can reach customer assistance?,Contact
I am trying to contact an agent,Contact
i dont know how i can talk to bloody customer service,Contact
could you help me to talk to an agent?,Contact
I don't know what I nee to do to call customer service,Contact
I do not know how I can contact customer service,Contact
I don't know what I need to do to contact an agent,Contact
I am trying to talk with someone,Contact
I try to contact a live agent,Contact
can uhelp me speak with a live agent,Contact
I want assistance chatting with a human agent,Contact
i do not know how to call customer service,Contact
help calling customer service,Contact
I would like to talk to an agent,Contact
speak to a person,Contact
i want help to speak to customer support,Contact
help me to check at what time customer service available is,Contact
help checking at what time I can contact customer service,Contact
I want help to speak to customer service,Contact
help to see what hours I can reach customer service,Contact
I want assistance to talk to a human agent,Contact
can you help me speaking with an agent?,Contact
how do i talk to a hyman agent,Contact
I want to chat with somebody,Contact
I try to check at what time customer service available is,Contact
customer service working hours,Contact
uare not being helpful i have to contact someone,Contact
how can I talk with an assistant?,Contact
could you help me talking to an agent?,Contact
I'm trying to speak wiht an assistant,Contact
assistance to speak to a fucking agent,Contact
can you transfer to me an agent?,Contact
wanna check at what time i can call customer service,Contact
"I have got to talk with customer support, how to do it?",Contact
I need help contacting customer service,Contact
how can I check at what time customer service available is?,Contact
I don't know what I need to do to chat with a live agent,Contact
help me contacting an agent,Contact
I don't know what I need to do to contact customer service,Contact
could you show me what hours I can contact customer service?,Contact
I don't know what I have to do to speak with somebody,Contact
I am trying to see what hours customer support available is,Contact
can I see at what time I can contact customer assistance?,Contact
I do not know how to talk to an agent,Contact
I do't know what to do to talk to a human agent,Contact
help checking what hours I can contact customer service,Contact
i need help speaking with fucking customer support,Contact
I do not know what to do to talk with customer assistance,Contact
I need help to chat with an agent,Contact
can I see at what time I can reach customer assistance?,Contact
i dont know how i can chat wit a person,Contact
need assistance speaking with an operator,Contact
check what hours I can contact customer service,Contact
could you help me contact customer service?,Contact
would it be possible to contact customer service?,Contact
is it possible to chat with someone?,Contact
assistance talking to an agent,Contact
want help to see what hours I can reach customer support,Contact
what is your customer service working hours?,Contact
need to chat with a live agent,Contact
I want an agent,Contact
I need to check what hours I can contact customer service,Contact
"I do not understand you, how to speak with a human agent?",Contact
anyone available in customer service,Contact
assistance speaking with an agent,Contact
i needhelp to talk to a live agent,Contact
I need assistance contacting an agent,Contact
i do not know how i can talk  to customer service,Contact
how do I check at what time customer service available is?,Contact
i want assistance contacting customer service,Contact
i wantg assistance to call customer service,Contact
will you tell me what hours I can contact customer service?,Contact
help to check what hours I can contact customer service,Contact
uarenot being helpful i want help to speak with someone,Contact
I have to talk to an agent,Contact
what hours is customer service available?,Contact
I do not know what I have to do to call cutomer support,Contact
assistance talking to an assistant,Contact
i dont know what i need to do to speak with an operator,Contact
I want to see at what time I can reach customer service,Contact
I have to speak to a person,Contact
could I check what hours customer service available is?,Contact
how can I speak to a human agent?,Contact
i cant talk with somebody,Contact
help to check what hours customer service available is,Contact
assistance to contact customer service,Contact
chat with operator,Contact
can I check at what time I can contact customer service?,Contact
can i see at what time i can contact customer assistance,Contact
could ya transfer to me someone,Contact
how can i speak with an assistant,Contact
I want to check at what time I can contact customer service,Contact
help me contacting customer service,Contact
i need help checking what hours i can call customer service,Contact
help me check what hours I can call customer service,Contact
I do not know how I can contact an agent,Contact
uare not helpful i wanmt help to speak with a person,Contact
"you are not helpful, want assistance contactig an assistant",Contact
help checking at what time customer assistance available is,Contact
I try to contact an agent,Contact
what is the customer service number?,Contact
i need help to talk with a human agent,Contact
help me to contact someone,Contact
I do not know what to do to talk with customer service,Contact
I need to check at what time I can contact customer service,Contact
show me what hours customer service available is,Contact
will you tell me at what time customer service available is?,Contact
I want to contact customer service,Contact
customer service mail,Contact
contacting agent,Contact
I don't know how to contact an agent,Contact
I don't know how I can talk to an agent,Contact
